pool_id,pool_ticker,margin,pledge_lovelace,epoch_stake_lovelace,f_lovelace,operator_reward_c340_lovelace,operator_reward_c170_lovelace,loss_pct
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,0.01,1000000000.0,58465669811509.0,18560001737.0,522508536.91279805,354211415.5251623,32.20944912823942
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,0.03,1000000000.0,24594658611330.0,8838089713.0,595277851.4404758,430384556.14829904,27.70022349952409
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,0.0,325000000000.0,14870603710077.0,4129524783.0,422820817.3983155,256536201.19020283,39.32744305999138
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,0.05,0.0,70016947134638.0,18854533169.0,1265726658.45,1104226658.45,12.759468951832915
pool106p2jjwuwagq2as7cdzx4y6cyc2pdj7a3h3vv5cvkvnskegff3w,VOLT,0.0,1000000000.0,4183332400362.0,883808871.0,340129994.1814217,170170631.64068392,49.96894288896006
pool1072lq3k32sfxs96s9qhrx3s9la2t68vrqwfsp7h9qnwk56yr2mv,lSPF0,1.0,400000000.0,7440989980390.0,2062217756.0,2062217756.0,2062217756.0,0.0
pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc,AZUR,0.02,500000000000.0,45107923532674.0,10330921881.0,648348188.8984843,483594871.11030596,25.41124053544241
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,,0.03,0.0,59250169612026.0,18559931094.0,886597932.8199999,721697932.8199999,18.59918615820623
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,0.05,100000000.0,79971298819684.0,27655874039.0,1705826151.1920657,1544326353.1395173,9.46754145723989
pool10eltx2wej46e62ulmwzm35xfu0azu47yvpjper7gwhncqe74vg6,CHIL,0.029,35000000000.0,11309160587532.0,4698984158.0,479509662.7903229,314950527.40801775,34.318210487087214
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,0.0,30000000000.0,4262012487617.0,1764818952.0,350029198.3386233,181225816.13709703,48.22551461499033
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,0.0189,20000000000.0,13562150580139.0,5008622038.0,434991615.45583117,268450574.9723761,38.28603461906625
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,0.05,100000000000.0,7104483057688.0,2357716691.0,467866416.25996315,308639628.80320704,34.03253192002652
pool10p3g22454ly7eaurlur5wc9d9ual2fnfwy7a6e7k09z3yf929k9,OUROS,0.0149,2500000000.0,6076311463663.0,1178419637.0,352832266.96279323,185434168.5493073,47.44410137271781
pool10p6wd9k0fwk2zqkqnqr8efyr7gms627ujk9dxgk6majskhawr6r,BBHMM,0.01,550000000000.0,7036434076718.0,2656653380.0,542435997.8007716,387291098.6644714,28.601512393224784
pool10pd44d65586rldtdzuu88e7mn4sxjctvdksmt05nnqfzqu7g7hd,RDB,0.01,1000000000.0,3460141279960.0,589206424.0,342563366.05683297,174312005.6892592,49.11539792017925
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,0.0,100000000.0,2278562468341.0,589204369.0,340010936.91186714,170018397.7562531,49.99619738693204
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,0.05,10000000000.0,24708911645490.0,8245620539.0,738320553.5871115,576885914.6205382,21.865115115954335
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,0.05,100000000.0,74073232951482.0,21800541667.0,1413054606.8072212,1251554824.834697,11.429125328527173
pool10scv5quxduhrcc26wpurhk743dngspe8dc3zpkkam0svyx6ejx3,CDNTH,0.2,100000000.0,8648242326177.0,2651419743.0,802305330.2371542,666306902.8110354,16.950956487590446
pool10wcmpvjmmv7ph7cz2263f52yckvnnwu5kdppwqgu74s2qhe7l7m,4TUN8,0.01,200000000000.0,1216672604799.0,294793119.0,294793119.0,191556630.0663769,35.01997919212731
pool10ya6hxrssmyhl560gqyalhqxudkgfjdlc0e4krww6wweyaeajs8,NKR,0.01,40000000000.0,29702642180265.0,8698584546.0,434729633.4776708,266656279.98134357,38.66158194733694
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,0.037,20000000000.0,25947752278328.0,7660245827.0,616282627.3020823,452698811.642247,26.54363573024291
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,XPPX,0.0,119000000000.0,536845683641.0,294707869.0,294707869.0,197643393.3683706,32.93582759123049
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,NAP,0.03,20000000000.0,18131001028506.0,5008617911.0,485053914.4374747,320335812.83320117,33.958720196145606
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,0.02,1500000000000.0,2380628940652.0,1476334893.0,1064395178.9011959,1002767438.8500974,5.789930401105203
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,H3ART,0.0,10000000000.0,171544280445.0,294612812.0,294612812.0,177264177.60340035,39.83147698159157
pool12lsfsh2s8yt8dvrt9m8kgrgr6ktntngvn2vad60xlqz7kxz9fxr,POP4,0.05,50000000000.0,4122221288075.0,1767950433.0,427851671.2037165,268310566.52633297,37.288881968961604
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,,0.05,0.0,28840311622564.0,7954256173.0,720712808.6500001,559212808.6500001,22.40837099905481
pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,0.01,50000000000.0,13287132572180.0,5009200914.0,404086691.0992152,236420010.58739573,41.49274999771085
pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,MANT,0.0,100000000000.0,1419735920231.0,294708160.0,294708160.0,178783898.34496188,39.33527380274713
pool12pwp8hln0cjsxv0h2a0463qsakkhwetfhyqw7vzmpwd2jdj86n6,KAP,0.01,200000000000.0,823870099593.0,294775253.0,294775253.0,201234882.91160357,31.732775779653537
pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,ASAHI,0.0,40000000000.0,7432589983611.0,1767884649.0,347684452.67207533,178599342.36934024,48.63177199994349
pool12rs385dd534g8gtdtmnvlhq63whdvc6vnuzxa5cpx843zdy73qy,TERA2,0.01,300000000.0,8659698887615.0,1767613882.0,354325101.4142491,186030931.8710185,47.497106152373405
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,0.0,10000000000.0,56274024656517.0,17955354954.0,343130281.6995088,173160491.01917937,49.535059930728565
pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,0.04,1000000000000.0,34510916686131.0,8521371341.0,894838390.721655,736367329.1466835,17.709461643366726
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,BRAVO,0.015,310000000000.0,52078500731109.0,14135239054.0,627813714.7212216,461360469.60608315,26.513158475528268
pool136q98jnwt093qle4ph86vdpuwplg7gyvt20h2nq4m6ksv8xjcuj,PNR39,0.01,500000000.0,42761790124559.0,11489503307.0,451624096.98713,283326064.86545676,37.265069168014136
pool136wr0g23dw9daekuyqtgk366vywms6meespgpm3hdguxqczaaug,DAVID,0.05,100000000.0,3493138296973.0,1767612655.0,411419458.35342443,249924081.70315382,39.253217943702644
pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne,ITC,0.0399,10000000000.0,32928515843938.0,11194964450.0,776278074.2980189,613110641.3665056,21.01919896154018
pool138s0uwydwtrhkaqj4uwkh37yqw098v9v6nf5q08k9nugumlf8mw,AURA,0.0,5000000.0,10480040250779.0,2946020852.0,340001243.3257839,170001324.43234262,49.9997933038586
pool1398lzhvtaa0hgz305d2jz4urfkwkkt66yv476wqe6att2f7dphh,,0.99,0.0,18912005691681.0,3829675320.0,3794778566.8,3793078566.8,0.044798397853120286
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,1.0,68000000000000.0,70799993254874.0,27783348770.0,27783348770.0,27783348770.0,0.0
pool13crd2ljx87988umk22er6ynwadfwdqupdpcq6prc6v59z62kxse,BLOOM,0.04,1000000000000.0,37232766498327.0,9747822006.0,958881724.1685278,800064960.1015153,16.562706334269418
pool13fpvzhz7p0f4c960k44erfykflr7qdp86t6jnxlfamhqcmfha42,CET,0.1,2000000.0,6152364616300.0,2062214580.0,512221961.86907107,359222011.60604525,29.86985362844206
pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja,BLC,0.01,1000000000.0,70916264203142.0,20031646441.0,537191362.2799829,368893735.50144196,31.329175894459866
pool13mxx49xrq4hp6mca8qrzxxmjhfrts0ayh5n6ff9uyuusq9cx4d8,UPBIT,1.0,200000000000.0,30976030963620.0,9139702856.0,9139702856.0,9139702856.0,0.0
pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,TZD,0.05,0.0,70023902720119.0,15613910284.0,1103695514.2,942195514.2,14.6326589101942
pool13t8yafhx3mfnxs8nnkvgqnm9v5gspk7cdjc5dmpzpt0a6h294yn,UPBIT,1.0,200000000000.0,31653205292893.0,7370728671.0,7370728671.0,7370728671.0,0.0
pool13z9mfsve9w39sl5akgz58yewad9daycxn8ja426ytdxey47yatu,UPBIT,1.0,200000000000.0,31655449726951.0,11203507598.0,11203507598.0,11203507598.0,0.0
